Dam,Location,Capacity_Total,Capacity_Usable,Water_Stored,Water_Usable,Inflow,Outflow,Data_Time,Water_Type
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08",844.93 (58%),568.65 (39%),2.2,6.09,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","7,780.34 (58%)","3,980.34 (30%)",7.81,18,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,116.6 (57%)",285.22 (15%),7.77,7.06,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","5,376.28 (57%)","2,526.28 (27%)",133.4,6.15,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,162.45 (55%),142.45 (48%),0.98,0.14,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,146.41 (53%),139.41 (51%),1.04,0.03,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,133.69 (51%),119.69 (46%),0.78,0.84,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,67.6 (48%),60.6 (43%),0.13,0.08,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,77.86 (47%),40.64 (25%),0.19,1.06,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",911.6 (46%),811.6 (41%),10.36,11.61,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,48.6 (44%),32.7 (30%),0,0.3,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,67.65 (44%),66.25 (43%),0,0.41,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,45.29 (43%),41.74 (39%),1.97,2.13,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,64.25 (40%),47.25 (30%),0,0.4,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,115.3 (39%),75.3 (25%),0.46,0.06,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,111.67 (38%),97.42 (33%),2.84,0.7,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,259.13 (37%),194.13 (27%),2.56,1.47,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,41.35 (34%),37.9 (31%),0.04,0,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,75.98 (34%),71.46 (32%),2.04,1.74,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,55.89 (33%),49.69 (29%),0.69,0.74,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,128.03 (33%),110.44 (28%),1.19,0.34,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",705.55 (29%),123.88 (5%),4.26,19.02,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,44.72 (27%),36.04 (22%),0.44,0,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,240.82 (26%),197.82 (21%),2.17,4.75,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,30.55 (23%),23.96 (18%),0.49,0.75,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,68.91 (22%),46.21 (15%),0.47,0.09,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,70.02 (17%),40.02 (10%),0.91,0.13,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,117.95 (12%),114.95 (12%),2.35,1.73,13/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","12,779.17 (72%)","2,514.17 (14%)",28.78,5.98,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,111.17 (68%),97.67 (60%),0.13,0.6,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,352.5 (68%),307.5 (59%),2.66,1.17,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,783.25 (67%)","2,431.71 (43%)",10.69,3.22,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,167.85 (63%),155.67 (59%),1.56,1.26,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,73.96 (63%),61.9 (53%),0,0.38,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","5,192.13 (59%)","2,180.13 (25%)",32.42,12.07,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08",841.74 (58%),565.46 (39%),2.94,6.01,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","7,776.1 (58%)","3,976.1 (30%)",14.37,18,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","5,435.26 (57%)","2,585.26 (27%)",73.29,13.63,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,110.5 (56%)",279.12 (14%),1.68,7.07,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,163.5 (55%),143.5 (49%),1.33,0.14,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,147.54 (54%),140.54 (51%),1.27,0.03,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,133.5 (51%),119.5 (45%),0.48,0.68,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,67.71 (48%),60.71 (43%),0.25,0.08,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,76.71 (47%),39.49 (24%),0.16,1.08,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",917.37 (46%),817.37 (41%),18.02,11.6,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,48.42 (44%),32.52 (30%),0,0.18,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,46.21 (44%),42.66 (40%),3.06,2.13,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,67.19 (43%),65.79 (42%),0,0.41,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,63.75 (40%),46.75 (29%),0,0.5,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,115.54 (39%),75.54 (25%),0.44,0.06,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,113.01 (38%),98.76 (33%),2.09,0.7,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,261.12 (37%),196.12 (28%),3.56,1.04,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,77.39 (35%),72.87 (33%),3.18,1.74,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,57.94 (34%),51.74 (30%),2.79,0.74,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,41.35 (34%),37.9 (31%),0.04,0,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,128.87 (33%),111.28 (28%),1.19,0.34,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",686.56 (28%),104.89 (4%),0.13,18.07,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,45.2 (27%),36.52 (22%),0.54,0,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,238.4 (25%),195.4 (21%),2.35,4.75,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,30.87 (23%),24.28 (18%),1.13,0.76,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,68.42 (22%),45.72 (15%),0.25,0.09,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,70.02 (17%),40.02 (10%),0.21,0.13,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,117.52 (12%),114.52 (12%),1.49,1.73,14/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","12,799.61 (72%)","2,534.61 (14%)",23.89,5.97,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,352.5 (68%),307.5 (59%),1.42,1.17,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,110.8 (68%),97.3 (59%),0.19,0.67,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,798.85 (67%)","2,447.31 (43%)",19.39,3.41,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,74.26 (63%),62.2 (53%),0.18,0.37,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,167.25 (63%),155.06 (59%),0.65,1.26,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","5,206.28 (59%)","2,194.28 (25%)",26.75,12.01,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","7,780.34 (58%)","3,980.34 (30%)",20.74,16,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08",837.36 (58%),561.08 (39%),1.77,6.03,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","5,472.8 (58%)","2,622.8 (28%)",49.37,11.16,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,104.42 (56%)",273.04 (14%),1.64,7.02,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,164.55 (56%),144.55 (49%),1.33,0.14,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,148.22 (54%),141.22 (51%),0.79,0.03,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,132.7 (50%),118.7 (45%),0.32,1.11,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,67.38 (48%),60.38 (43%),0.04,0.32,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",921.22 (47%),821.22 (41%),16.42,11.88,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,75.92 (46%),38.7 (24%),0,0.48,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,47.5 (43%),31.6 (29%),0,0.92,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,66.8 (43%),65.4 (42%),0.06,0.41,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,45.54 (43%),41.99 (40%),1.79,2.47,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,62.95 (39%),45.95 (29%),0,0.8,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,115.74 (39%),75.74 (25%),0.4,0.06,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,113.59 (39%),99.34 (34%),1.4,0.77,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,262.37 (37%),197.37 (28%),2.39,0.86,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,78.76 (35%),74.24 (33%),3.13,1.74,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,58.21 (34%),52.01 (31%),1.25,0.98,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,41.35 (34%),37.9 (31%),0.02,0,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,129.38 (33%),111.79 (29%),0.8,0.28,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,45.69 (28%),37.01 (22%),0.54,0,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",672.98 (28%),91.31 (4%),3.54,16.08,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,236.38 (25%),193.38 (21%),2.84,4.75,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,31.52 (23%),24.93 (18%),1.46,0.77,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,67.69 (22%),44.99 (14%),0.63,0.17,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,69.81 (17%),39.81 (9%),0,0.13,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,117.09 (12%),114.09 (12%),1.49,1.73,15/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","12,809.84 (72%)","2,544.84 (14%)",17.38,5.99,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,356.25 (69%),311.25 (60%),5.14,1.17,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,808.79 (68%)","2,457.25 (44%)",13.87,3.53,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,110.08 (67%),96.58 (59%),0,0.65,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,169.05 (64%),156.87 (59%),3.06,1.26,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,74.41 (64%),62.35 (53%),0.02,0.37,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","5,214.78 (59%)","2,202.78 (25%)",21.1,12.01,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","7,786.69 (58%)","3,986.69 (30%)",22.87,16,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","5,500.55 (58%)","2,650.55 (28%)",39.93,11.51,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08",833.79 (57%),557.51 (38%),2.57,6.02,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,166.3 (56%),146.3 (50%),1.94,0.14,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,104.42 (56%)",273.04 (14%),7.92,7.21,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,148.9 (54%),141.9 (52%),0.82,0.03,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,132.68 (50%),118.68 (45%),1.12,1.14,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,67.04 (48%),60.04 (43%),0.18,0.46,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",930.9 (47%),830.9 (42%),22.27,11.91,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,75.92 (46%),38.7 (24%),0.22,0.2,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,66.57 (43%),65.17 (42%),0.21,0.41,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,45.37 (43%),41.82 (39%),2.48,2.65,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,46.8 (43%),30.9 (28%),0.1,0.8,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,115.9 (39%),75.9 (25%),0.36,0.06,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,61.95 (39%),44.95 (28%),0,1,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,113.59 (39%),99.34 (34%),1.04,0.99,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,263.88 (37%),198.88 (28%),2.47,0.86,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,79.73 (36%),75.21 (34%),2.74,1.74,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,59.29 (35%),53.09 (31%),2.17,1.09,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,41.47 (34%),38.02 (31%),0.15,0,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,130.24 (33%),112.65 (29%),1.14,0.28,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,45.99 (28%),37.31 (23%),0.37,0.02,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",664.59 (27%),82.92 (3%),4.66,12.01,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,234.16 (25%),191.16 (20%),2.53,4.75,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,33.45 (25%),26.86 (20%),3.24,1.33,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,67.44 (21%),44.74 (14%),0.18,0.43,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,69.6 (17%),39.6 (9%),0,0.13,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,116.23 (12%),113.23 (12%),1.06,1.73,16/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","12,816.66 (72%)","2,551.66 (14%)",13.57,5.93,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,361.25 (69%),316.25 (61%),6.38,1.18,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,817.33 (68%)","2,465.79 (44%)",12.53,3.61,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,110.08 (67%),96.58 (59%),0.51,0.63,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,174.16 (66%),161.98 (61%),5.47,0.37,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,75.63 (65%),63.57 (54%),1.06,0.37,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","5,220.45 (59%)","2,208.45 (25%)",18.29,12.02,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","5,562.26 (58%)","2,712.26 (29%)",73.75,11.36,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","7,784.57 (58%)","3,984.57 (30%)",14.42,16,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08",829.84 (57%),553.56 (38%),2.23,6.08,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,167.35 (57%),147.35 (50%),1.33,0.14,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,100.38 (56%)",269 (14%),3.88,7.21,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,149.36 (54%),142.36 (52%),0.57,0.03,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,133.79 (51%),119.79 (46%),1.93,0.82,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",954.32 (48%),854.32 (43%),36.07,12.01,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,66.82 (47%),59.82 (42%),0.17,0.45,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,75.69 (46%),38.47 (23%),0,0.2,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,45.81 (43%),42.26 (40%),4.82,4.38,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,66.25 (43%),64.85 (42%),0.13,0.41,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,46.5 (42%),30.6 (28%),0.3,0.6,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,66.07 (39%),59.87 (35%),8.22,1.44,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,116.2 (39%),76.2 (25%),0.5,0.06,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,114.55 (39%),100.3 (34%),2.03,1.02,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,60.95 (38%),43.95 (27%),0,1,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,265.64 (37%),200.64 (28%),2.73,0.86,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,80.04 (36%),75.52 (34%),2.07,1.74,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,41.35 (34%),37.9 (31%),0,0.06,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,130.41 (33%),112.82 (29%),1.12,0.95,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,51.37 (31%),42.69 (26%),5.44,0,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",666.26 (27%),84.59 (3%),11.76,9.05,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,36.19 (27%),29.6 (22%),4.02,1.27,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,234.16 (25%),191.16 (20%),4.75,4.75,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,66.95 (21%),44.25 (14%),0.3,0.43,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,70.22 (17%),40.22 (10%),0.83,0.13,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,116.23 (12%),113.23 (12%),1.91,1.73,17/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","12,826.89 (72%)","2,561.89 (14%)",17.92,6.01,18/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,367.23 (71%),322.23 (62%),7.93,1.71,18/07/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,823.03 (68%)","2,471.49 (44%)",8.63,2.55,18/07/2025,แหล่งน้ำขนาดใหญ่
