0,1,2,3,4,5,6,8,9
บ้านจั่น อ.เมือง,อุดรธานี,4.38,2.78 (64%),2.77 (63%),,0.27,27/08/2025,แหล่งน้ำขนาดกลาง
หนองกลางดง,ชลบุรี,7.65,4.87 (64%),4.57 (62%),0.01,0.01,27/08/2025,แหล่งน้ำขนาดกลาง
หนองกรองแก้ว,ขอนแก่น,13.589,8.61 (63%),4.30 (46%),0.01,0.17,27/08/2025,แหล่งน้ำขนาดกลาง
บ้านดงน้อย,มุกดาหาร,5.2,3.29 (63%),3.04 (61%),0.05,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยน้ำบ่อ อ.เมือง,สกลนคร,2.2,1.39 (63%),1.31 (64%),,,27/08/2025,แหล่งน้ำขนาดกลาง
ช่องกล่ำล่าง,สระแก้ว,2.2,1.39 (63%),1.19 (59%),0.01,0,27/08/2025,แหล่งน้ำขนาดกลาง
คลองใหญ่,ระยอง,45.465,25.14 (63%),22.14 (52%),0.25,0.34,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยโพงตอนบน,ยโสธร,12.4,7.76 (63%),6.76 (59%),0.04,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยเหล่ายาง อ.เมือง,หนองบัวลำภู,2.469,1.55 (63%),1.43 (61%),0.02,0,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยขนุน,อุบลราชธานี,10.2,6.26 (63%),5.64 (59%),0.4,0.27,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยหินชะแนน,นครพนม,2.4,1.5 (62%),1.37 (60%),,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยน้ำเขียว,กระบี่,7.3,4.52 (62%),4.37 (61%),,0.01,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยป่าเลา,เพชรบูรณ์,8.4,5.2 (62%),5.01 (61%),0.08,,27/08/2025,แหล่งน้ำขนาดกลาง
คลองพระพุทธ,จันทบุรี,70.51,43.59 (62%),42.60 (61%),,0.06,27/08/2025,แหล่งน้ำขนาดกลาง
อ่างฯ ห้วยไฮ,อุดรธานี,0,2.52 (62%),2.32 (--%),0.34,0.44,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยฝา,กาฬสินธุ์,6.422,3.95 (61%),3.25 (57%),0.57,0.23,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยท่าเดื่อ,สุพรรณบุรี,2.8,1.72 (61%),1.52 (58%),,,27/08/2025,แหล่งน้ำขนาดกลาง
หนองช้างใหญ่,อุบลราชธานี,7.675,4.7 (61%),4.65 (61%),0.17,0.17,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยศอก,เลย,0,6.1 (61%),5.99 (--%),0.2,0.07,27/08/2025,แหล่งน้ำขนาดกลาง
